Date,Nominal Home Price Index
1890.0,3.6571747486800534
1891.0,3.299213109331272
1892.0,3.358873382556069
1893.0,3.502058038295582
1894.0,4.080762688576113
1895.0,3.704902967259892
1896.0,3.2097226994940766
1897.0,3.3111451639762315
1898.0,3.5259221475855003
1899.0,3.3708054372010285
1900.0,3.8540536503218834
1901.0,3.2335868087839956
1902.0,3.812291459064526
1903.0,3.871951732289323
1904.0,4.050932551963714
1905.0,3.5497862568754193
1906.0,4.212015289670665
1907.0,4.647535284211684
1908.0,4.1941172077032265
1909.0,4.098660770543551
1910.0,4.426792273279935
1911.0,4.32536980879778
1912.0,4.492418573827211
1913.0,4.492418573827211
1914.0,4.6594673388566425
1915.0,4.277641590217942
1916.0,4.6833314481465615
1917.0,4.778787885306237
1918.0,5.083055278752702
1919.0,5.5901676011634756
1920.0,6.127110060186649
1921.0,5.989891431769616
1922.0,6.073415814284331
1923.0,6.162906224121526
1924.0,6.174838278766487
1925.0,6.4970037541803904
1926.0,6.234498551991282
1927.0,6.001823486414574
1928.0,6.091313896251769
1929.0,5.966027322479696
1930.0,5.70948814761307
1931.0,5.244138016459654
1932.0,4.695263502791521
1933.0,4.51628268311713
1934.0,4.647535284211684
1935.0,5.101405852435657
1936.0,5.265599775410792
1937.0,5.400577697856544
1938.0,5.35339385700159
1939.0,5.283713695739011
1940.0,5.458425378904724
1941.0,5.000756730611932
1942.0,5.1674340136320644
1943.0,5.758911944349434
1944.0,6.713983001654981
1945.0,7.504714055982746
1946.0,9.31347664875688
1947.0,11.293883244641142
1948.0,11.526369568853712
1949.0,11.53666820904032
1950.0,11.956648216650207
1951.0,12.67974422975245
1952.0,13.23850023987691
1953.125,14.66095426565127
1953.375,14.706361789509272
1953.625,14.763121194331768
1953.875,14.768797134814017
1954.125,14.774473075296266
1954.375,14.768797134814017
1954.625,14.865288123012265
1954.875,14.887991884941265
1955.125,14.870964063494513
1955.375,14.768797134814017
1955.625,14.933399408799264
1955.875,14.933399408799264
1956.125,14.814204658672015
1956.375,14.75744525384952
1956.625,15.04691821844426
1956.875,15.035566337479763
1957.125,15.177464849536001
1957.375,15.34206712352125
1957.625,15.34206712352125
1957.875,15.455585933166244
1958.125,15.506669397506494
1958.375,15.625864147633738
1958.625,15.552076921364492
1958.875,15.523697218953245
1959.125,15.500993457024245
1959.375,15.540725040399991
1959.625,15.512345337988744
1959.875,15.603160385704738
1960.125,15.61451226666924
1960.375,15.58045662377574
1960.625,15.61451226666924
1960.875,15.699651373902988
1961.125,15.67127167149174
1961.375,15.642891969080491
1961.625,15.711003254867485
1961.875,15.784790481136735
1962.125,15.830198004994731
1962.375,15.881281469334981
1962.625,15.915337112228478
1962.875,15.881281469334981
1963.125,15.932364933675233
1963.375,16.034531862355728
1963.625,16.057235624284726
1963.875,16.14805067200072
1964.125,16.26156948164572
1964.375,16.19913413634097
1964.625,16.29562512453922
1964.875,16.414819874666463
1965.125,16.51698680334696
1965.375,16.437523636595465
1965.625,16.465903339006715
1965.875,16.641857493956458
1966.125,16.732672541672454
1966.375,16.7724041250482
1966.625,16.789431946494954
1966.875,16.8632191727642
1967.125,16.86889511324645
1967.375,16.937006399033447
1967.625,17.061877089642945
1967.875,17.226479363628187
1968.125,17.328646292308683
1968.375,17.345674113755436
1968.625,17.52162826870518
1968.875,17.845156876193418
1969.125,18.208417067057407
1969.375,18.42977874586515
1969.625,18.787362996246888
1969.875,19.167651008557623
1970.125,19.58767060424411
1970.375,19.93390297366135
1970.625,20.31986692645434
1970.875,20.73988652214082
1971.125,20.87610909371482
1971.375,21.10314671300481
1971.625,21.3982956180818
1971.875,21.653712939783045
1972.125,21.84101897569729
1972.375,21.97156560678903
1972.625,22.35752955958202
1972.875,22.37455738102877
1973.125,22.34617767861752
1973.375,22.408613023922268
1973.625,22.607270940801016
1973.875,23.02161459600525
1974.125,23.555153001336727
1974.375,23.997876358952215
1974.625,24.474655359461206
1974.875,25.16712009829568
1975.125,26.32501195667464
1975.375,26.957614995076664
1975.625,26.844182726121815
1975.875,27.289186242790826
1976.125,27.668748065832045
1976.375,28.64601069067379
1976.625,28.933954142636093
1976.875,29.37023210015473
1977.125,30.325680827120554
1977.375,31.717407511605007
1977.625,32.42854058236039
1977.875,33.541049374032916
1978.125,34.61429314952877
1978.375,36.02783373188915
1978.625,37.05744971163314
1978.875,38.169958503305665
1979.125,39.97178646785765
1979.375,41.17591363060908
1979.625,42.07464622309748
1979.875,42.929751019834015
1980.125,43.627795751863836
1980.375,44.30402658601772
1980.625,45.66957659305107
1980.875,45.78300886200591
1981.125,46.06658953439302
1981.375,47.17037276691518
1981.625,47.81170136446758
1981.875,47.960035870023916
1982.125,48.47048108032072
1982.375,48.697345618230415
1982.625,48.396313827542556
1982.875,48.74533619355746
1983.125,49.63970600647067
1983.375,50.23740680827121
1983.625,50.55152693768463
1983.875,50.73912645941763
1984.125,51.48952454634969
1984.375,52.327178224785484
1984.625,52.84198621465748
1984.875,53.343705865803905
1985.125,54.08537839358559
1985.375,54.944845969897315
1985.625,55.8784807989872
1985.875,56.55034885356591
1986.125,57.65413208608806
1986.375,58.84517091011394
1986.625,59.818070755380504
1986.875,60.756068364045575
1987.125,62.03
1987.375,64.09
1987.625,65.32
1987.875,66.18
1988.125,66.67
1988.375,69.27
1988.625,70.5
1988.875,71.22
1989.125,72.43
1989.375,74.4
1989.625,75.22
1989.875,75.37
1990.125,75.58
1990.375,76.42
1990.625,75.84
1990.875,74.59
1991.125,73.43
1991.375,74.75
1991.625,75.16
1991.875,74.65
